,minute,player,value,pindex
315,28,Nikola Mirotic,240,6
316,29,Nikola Mirotic,240,6
317,30,Nikola Mirotic,290,6
318,31,Nikola Mirotic,362,6
319,32,Nikola Mirotic,409,6
320,33,Nikola Mirotic,360,6
321,34,Nikola Mirotic,369,6
322,35,Nikola Mirotic,420,6
323,36,Nikola Mirotic,420,6
324,37,Nikola Mirotic,480,6
325,38,Nikola Mirotic,471,6
326,39,Nikola Mirotic,393,6
327,40,Nikola Mirotic,332,6
328,41,Nikola Mirotic,347,6
329,42,Nikola Mirotic,343,6
330,43,Nikola Mirotic,416,6
331,44,Nikola Mirotic,420,6
332,45,Nikola Mirotic,360,6
333,46,Nikola Mirotic,295,6
334,47,Nikola Mirotic,240,6
335,48,Nikola Mirotic,239,6
336,1,Darius Miller,0,7
337,2,Darius Miller,0,7
338,3,Darius Miller,0,7
339,4,Darius Miller,0,7
340,5,Darius Miller,1,7
341,6,Darius Miller,60,7
342,7,Darius Miller,145,7
343,8,Darius Miller,416,7
344,9,Darius Miller,454,7
345,10,Darius Miller,540,7
346,11,Darius Miller,540,7
347,12,Darius Miller,540,7
348,13,Darius Miller,540,7
349,14,Darius Miller,540,7
350,15,Darius Miller,540,7
351,16,Darius Miller,490,7
352,17,Darius Miller,414,7
353,18,Darius Miller,350,7
354,19,Darius Miller,300,7
355,20,Darius Miller,209,7
356,21,Darius Miller,115,7
357,22,Darius Miller,140,7
358,23,Darius Miller,155,7
359,24,Darius Miller,240,7
360,25,Darius Miller,0,7
361,26,Darius Miller,0,7
362,27,Darius Miller,0,7
363,28,Darius Miller,0,7
364,29,Darius Miller,0,7
365,30,Darius Miller,93,7
366,31,Darius Miller,366,7
367,32,Darius Miller,480,7
368,33,Darius Miller,480,7
369,34,Darius Miller,480,7
370,35,Darius Miller,480,7
371,36,Darius Miller,533,7
372,37,Darius Miller,420,7
373,38,Darius Miller,391,7
374,39,Darius Miller,336,7
375,40,Darius Miller,360,7
376,41,Darius Miller,373,7
377,42,Darius Miller,420,7
378,43,Darius Miller,420,7
379,44,Darius Miller,420,7
380,45,Darius Miller,381,7
381,46,Darius Miller,372,7
382,47,Darius Miller,420,7
383,48,Darius Miller,455,7
384,1,Cheick Diallo,0,9
385,2,Cheick Diallo,0,9
386,3,Cheick Diallo,0,9
387,4,Cheick Diallo,0,9
388,5,Cheick Diallo,0,9
389,6,Cheick Diallo,17,9
390,7,Cheick Diallo,60,9
391,8,Cheick Diallo,70,9
392,9,Cheick Diallo,120,9
393,10,Cheick Diallo,264,9
394,11,Cheick Diallo,352,9
395,12,Cheick Diallo,395,9
396,13,Cheick Diallo,420,9
397,14,Cheick Diallo,420,9
398,15,Cheick Diallo,420,9
399,16,Cheick Diallo,326,9
400,17,Cheick Diallo,310,9
401,18,Cheick Diallo,266,9
402,19,Cheick Diallo,171,9
403,20,Cheick Diallo,120,9
404,21,Cheick Diallo,120,9
405,22,Cheick Diallo,94,9
406,23,Cheick Diallo,43,9
407,24,Cheick Diallo,0,9
408,25,Cheick Diallo,0,9
409,26,Cheick Diallo,0,9
410,27,Cheick Diallo,0,9
411,28,Cheick Diallo,0,9
412,29,Cheick Diallo,0,9
413,30,Cheick Diallo,17,9
414,31,Cheick Diallo,60,9
415,32,Cheick Diallo,60,9
416,33,Cheick Diallo,111,9
417,34,Cheick Diallo,173,9
418,35,Cheick Diallo,180,9
419,36,Cheick Diallo,214,9
420,37,Cheick Diallo,240,9
421,38,Cheick Diallo,170,9
422,39,Cheick Diallo,157,9
423,40,Cheick Diallo,125,9
424,41,Cheick Diallo,9,9
425,42,Cheick Diallo,38,9
426,43,Cheick Diallo,0,9
427,44,Cheick Diallo,0,9
428,45,Cheick Diallo,60,9
429,46,Cheick Diallo,125,9
430,47,Cheick Diallo,180,9
431,48,Cheick Diallo,177,9
432,1,Walter Lemon Jr.,0,11
433,2,Walter Lemon Jr.,0,11
434,3,Walter Lemon Jr.,0,11
435,4,Walter Lemon Jr.,0,11
436,5,Walter Lemon Jr.,0,11
437,6,Walter Lemon Jr.,0,11
438,7,Walter Lemon Jr.,0,11
439,8,Walter Lemon Jr.,0,11
440,9,Walter Lemon Jr.,0,11
441,10,Walter Lemon Jr.,38,11
442,11,Walter Lemon Jr.,120,11
443,12,Walter Lemon Jr.,178,11
444,13,Walter Lemon Jr.,180,11
445,14,Walter Lemon Jr.,193,11
446,15,Walter Lemon Jr.,184,11
447,16,Walter Lemon Jr.,120,11
448,17,Walter Lemon Jr.,81,11
449,18,Walter Lemon Jr.,50,11
450,19,Walter Lemon Jr.,0,11
451,20,Walter Lemon Jr.,0,11
452,21,Walter Lemon Jr.,0,11
453,22,Walter Lemon Jr.,0,11
454,23,Walter Lemon Jr.,0,11
455,24,Walter Lemon Jr.,0,11
456,25,Walter Lemon Jr.,0,11
457,26,Walter Lemon Jr.,0,11
458,27,Walter Lemon Jr.,0,11
459,28,Walter Lemon Jr.,0,11
460,29,Walter Lemon Jr.,0,11
461,30,Walter Lemon Jr.,0,11
462,31,Walter Lemon Jr.,0,11
463,32,Walter Lemon Jr.,0,11
464,33,Walter Lemon Jr.,0,11
465,34,Walter Lemon Jr.,0,11
466,35,Walter Lemon Jr.,21,11
467,36,Walter Lemon Jr.,60,11
468,37,Walter Lemon Jr.,0,11
469,38,Walter Lemon Jr.,0,11
470,39,Walter Lemon Jr.,0,11
471,40,Walter Lemon Jr.,0,11
472,41,Walter Lemon Jr.,0,11
473,42,Walter Lemon Jr.,0,11
474,43,Walter Lemon Jr.,0,11
475,44,Walter Lemon Jr.,0,11
476,45,Walter Lemon Jr.,0,11
477,46,Walter Lemon Jr.,41,11
478,47,Walter Lemon Jr.,60,11
479,48,Walter Lemon Jr.,59,11
480,1,DeAndre Liggins,0,10
481,2,DeAndre Liggins,0,10
482,3,DeAndre Liggins,0,10
483,4,DeAndre Liggins,0,10
484,5,DeAndre Liggins,0,10
485,6,DeAndre Liggins,0,10
486,7,DeAndre Liggins,28,10
487,8,DeAndre Liggins,60,10
488,9,DeAndre Liggins,60,10
489,10,DeAndre Liggins,60,10
490,11,DeAndre Liggins,60,10
491,12,DeAndre Liggins,93,10
492,13,DeAndre Liggins,120,10
493,14,DeAndre Liggins,96,10
494,15,DeAndre Liggins,60,10
495,16,DeAndre Liggins,60,10
496,17,DeAndre Liggins,44,10
497,18,DeAndre Liggins,50,10
498,19,DeAndre Liggins,60,10
499,20,DeAndre Liggins,60,10
500,21,DeAndre Liggins,60,10
501,22,DeAndre Liggins,60,10
502,23,DeAndre Liggins,43,10
503,24,DeAndre Liggins,0,10
504,25,DeAndre Liggins,0,10
505,26,DeAndre Liggins,0,10
506,27,DeAndre Liggins,0,10
507,28,DeAndre Liggins,0,10
508,29,DeAndre Liggins,0,10
509,30,DeAndre Liggins,0,10
510,31,DeAndre Liggins,0,10
511,32,DeAndre Liggins,60,10
512,33,DeAndre Liggins,60,10
513,34,DeAndre Liggins,16,10
514,35,DeAndre Liggins,0,10
515,36,DeAndre Liggins,72,10
516,37,DeAndre Liggins,60,10
517,38,DeAndre Liggins,60,10
518,39,DeAndre Liggins,60,10
519,40,DeAndre Liggins,60,10
520,41,DeAndre Liggins,60,10
521,42,DeAndre Liggins,31,10
522,43,DeAndre Liggins,0,10
523,44,DeAndre Liggins,0,10
524,45,DeAndre Liggins,0,10
525,46,DeAndre Liggins,83,10
526,47,DeAndre Liggins,120,10
527,48,DeAndre Liggins,118,10
528,1,Charles Cooke,0,12
529,2,Charles Cooke,0,12
530,3,Charles Cooke,0,12
531,4,Charles Cooke,0,12
532,5,Charles Cooke,0,12
533,6,Charles Cooke,0,12
534,7,Charles Cooke,0,12
535,8,Charles Cooke,0,12
536,9,Charles Cooke,0,12
537,10,Charles Cooke,0,12
538,11,Charles Cooke,0,12
539,12,Charles Cooke,0,12
540,13,Charles Cooke,0,12
541,14,Charles Cooke,0,12
542,15,Charles Cooke,0,12
543,16,Charles Cooke,0,12
544,17,Charles Cooke,0,12
545,18,Charles Cooke,0,12
546,19,Charles Cooke,0,12
547,20,Charles Cooke,0,12
548,21,Charles Cooke,0,12
549,22,Charles Cooke,0,12
550,23,Charles Cooke,0,12
551,24,Charles Cooke,0,12
552,25,Charles Cooke,0,12
553,26,Charles Cooke,0,12
554,27,Charles Cooke,0,12
555,28,Charles Cooke,0,12
556,29,Charles Cooke,0,12
557,30,Charles Cooke,0,12
558,31,Charles Cooke,0,12
559,32,Charles Cooke,0,12
560,33,Charles Cooke,0,12
561,34,Charles Cooke,0,12
562,35,Charles Cooke,0,12
563,36,Charles Cooke,0,12
564,37,Charles Cooke,0,12
565,38,Charles Cooke,0,12
566,39,Charles Cooke,0,12
567,40,Charles Cooke,0,12
568,41,Charles Cooke,0,12
569,42,Charles Cooke,0,12
570,43,Charles Cooke,0,12
571,44,Charles Cooke,0,12
572,45,Charles Cooke,0,12
573,46,Charles Cooke,42,12
574,47,Charles Cooke,70,12
575,48,Charles Cooke,118,12
