Date,Visitor,Visitor_Pts,Home,Home_Pts
Sat Dec 9 2017,New York Knicks,102,Chicago Bulls,104
Sat Dec 9 2017,Los Angeles Lakers,110,Charlotte Hornets,99
Sat Dec 9 2017,Philadelphia 76ers,98,Cleveland Cavaliers,105
Sat Dec 9 2017,Washington Wizards,112,Los Angeles Clippers,113
Sat Dec 9 2017,Oklahoma City Thunder,102,Memphis Grizzlies,101
Sat Dec 9 2017,Utah Jazz,100,Milwaukee Bucks,117
Sat Dec 9 2017,San Antonio Spurs,104,Phoenix Suns,101
Sat Dec 9 2017,Houston Rockets,124,Portland Trail Blazers,117
Sun Dec 10 2017,Boston Celtics,91,Detroit Pistons,81
Sun Dec 10 2017,Denver Nuggets,116,Indiana Pacers,126
Sun Dec 10 2017,Dallas Mavericks,92,Minnesota Timberwolves,97
Sun Dec 10 2017,Philadelphia 76ers,124,New Orleans Pelicans,131
Sun Dec 10 2017,Atlanta Hawks,107,New York Knicks,111
Sun Dec 10 2017,Toronto Raptors,102,Sacramento Kings,87
Mon Dec 11 2017,Boston Celtics,85,Chicago Bulls,108
Mon Dec 11 2017,Portland Trail Blazers,104,Golden State Warriors,111
Mon Dec 11 2017,New Orleans Pelicans,123,Houston Rockets,130
Mon Dec 11 2017,Toronto Raptors,91,Los Angeles Clippers,96
