,Above the Break 3,Assists,Corner 3,Exp_Pts_Per_Past,GP,In The Paint \(Non-RA\),Mid-Range,Player,Restricted Area,Year,3_pct,Mid,Points_Created,PPG,PLAYER_NAME,POTENTIAL_AST,Pts_Per_Past,Diff,Ast_pct
8,0.29,230,0.13,1.0844000000000003,34,0.1,0.14,Dennis Schroder,0.34,2017-18,0.42,0.24000000000000002,556.5999999999999,16.370588235294115,Dennis Schroder,426,1.3065727699530514,0.22217276995305113,0.539906103286385
34,0.25,189,0.12,1.1426,39,0.05,0.11,Marcus Smart,0.48,2017-18,0.37,0.16,447.92999999999995,11.485384615384614,Marcus Smart,331,1.353262839879154,0.2106628398791539,0.5709969788519638
24,0.31,191,0.08,1.1211000000000002,37,0.08,0.08,Jrue Holiday,0.45,2017-18,0.39,0.16,456.49,12.337567567567568,Jrue Holiday,347,1.3155331412103746,0.19443314121037436,0.5504322766570605
16,0.21,234,0.07,1.0996000000000001,39,0.06,0.19,J.J. Barea,0.47,2017-18,0.28,0.25,533.52,13.68,J.J. Barea,414,1.288695652173913,0.1890956521739129,0.5652173913043478
36,0.27,139,0.04,1.1391,29,0.12,0.05,Nikola Jokic,0.53,2017-18,0.31,0.16999999999999998,321.09,11.072068965517241,Nikola Jokic,242,1.3268181818181817,0.18771818181818167,0.5743801652892562
19,0.16,225,0.1,1.0694,31,0.14,0.19,Jeff Teague,0.41,2017-18,0.26,0.33,508.5,16.403225806451612,Jeff Teague,409,1.243276283618582,0.1738762836185821,0.5501222493887531
7,0.16,189,0.17,1.1059,36,0.14,0.1,DeMarcus Cousins,0.43,2017-18,0.33,0.24000000000000002,440.37,12.2325,DeMarcus Cousins,346,1.2727456647398845,0.16684566473988438,0.546242774566474
40,0.28,382,0.07,1.1181999999999999,38,0.09,0.09,Russell Westbrook,0.47,2017-18,0.35000000000000003,0.18,897.6999999999999,23.623684210526314,Russell Westbrook,711,1.262587904360056,0.14438790436005622,0.5372714486638537
20,0.3,188,0.09,1.0714000000000001,37,0.11,0.16,Jerian Grant,0.34,2017-18,0.39,0.27,449.32000000000005,12.143783783783785,Jerian Grant,370,1.2143783783783786,0.14297837837837846,0.5081081081081081
5,0.25,206,0.06,1.0229,36,0.14,0.26,Darren Collison,0.29,2017-18,0.31,0.4,475.85999999999996,13.218333333333332,Darren Collison,409,1.1634718826405868,0.14057188264058684,0.5036674816625917
29,0.17,250,0.1,1.1092,36,0.11,0.13,Kyle Lowry,0.49,2017-18,0.27,0.24,567.5,15.76388888888889,Kyle Lowry,455,1.2472527472527473,0.1380527472527473,0.5494505494505495
6,0.35,179,0.15,1.1038999999999999,36,0.09,0.08,DeMar DeRozan,0.33,2017-18,0.5,0.16999999999999998,447.5,12.430555555555555,DeMar DeRozan,361,1.239612188365651,0.13571218836565113,0.49584487534626037
18,0.19,214,0.11,1.0768,36,0.14,0.16,Jarrett Jack,0.4,2017-18,0.3,0.30000000000000004,492.2,13.672222222222222,Jarrett Jack,406,1.2123152709359606,0.1355152709359606,0.5270935960591133
23,0.28,236,0.06,1.0913,27,0.09,0.15,John Wall,0.42,2017-18,0.34,0.24,552.24,20.453333333333333,John Wall,452,1.2217699115044247,0.13046991150442477,0.5221238938053098
28,0.28,199,0.1,1.0637,33,0.15,0.17,Kris Dunn,0.31,2017-18,0.38,0.32,473.62,14.352121212121212,Kris Dunn,400,1.18405,0.12034999999999996,0.4975
27,0.18,155,0.12,1.135,36,0.08,0.07,Khris Middleton,0.54,2017-18,0.3,0.15000000000000002,356.5,9.902777777777779,Khris Middleton,284,1.255281690140845,0.120281690140845,0.545774647887324
25,0.24,202,0.11,1.0858,35,0.13,0.13,Kemba Walker,0.39,2017-18,0.35,0.26,474.7,13.562857142857142,Kemba Walker,394,1.2048223350253806,0.11902233502538051,0.5126903553299492
31,0.35,345,0.14,1.1188,38,0.05,0.09,LeBron James,0.37,2017-18,0.49,0.14,859.05,22.60657894736842,LeBron James,701,1.2254636233951497,0.10666362339514968,0.4921540656205421
17,0.28,318,0.14,1.1817000000000002,35,0.03,0.03,James Harden,0.53,2017-18,0.42000000000000004,0.06,769.56,21.98742857142857,James Harden,602,1.2783388704318936,0.09663887043189345,0.5282392026578073
